client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
c52f4af206aa014f434a98a03ee7dd13618cb815aa669d3af7dd878f96ff5ead8b2272efc7a67a9151f378e8a738cb27944924ff1e9afff8579f51867d102ad1	common_voice_ur_26562764.mp3	ہالی وڈ کی نئی تھری ڈی اینیمیٹیڈ کامیڈی فلم دی سیکرٹ لائف آف پیٹس نے نئے ریکارڈز قائم کر دیے ہیں	0	2	twenties	male			ur	
5fb67d56c62234917c8d6605d8cb0c339707cc2dc88b690d67399dd4e9ce9480d9c01763d98709d09533ba1b11d6603456fb163dc717170e082ca4e571ed9365	common_voice_ur_26574922.mp3	مطلب یہ کہ فوری ایکشن نہیں لینا۔	1	2	twenties	male			ur	
5fb67d56c62234917c8d6605d8cb0c339707cc2dc88b690d67399dd4e9ce9480d9c01763d98709d09533ba1b11d6603456fb163dc717170e082ca4e571ed9365	common_voice_ur_26574927.mp3	آزاد خیال سیاسی امیدواروں کو ووٹ دیتا ہوں	1	2	twenties	male			ur	
5fb67d56c62234917c8d6605d8cb0c339707cc2dc88b690d67399dd4e9ce9480d9c01763d98709d09533ba1b11d6603456fb163dc717170e082ca4e571ed9365	common_voice_ur_26574939.mp3	آج بالکل مختلف منظر ہمارے سامنے ہے۔	0	2	twenties	male			ur	
5fb67d56c62234917c8d6605d8cb0c339707cc2dc88b690d67399dd4e9ce9480d9c01763d98709d09533ba1b11d6603456fb163dc717170e082ca4e571ed9365	common_voice_ur_26574940.mp3	ایک ہی کپتان کی موجودگی	0	2	twenties	male			ur	
5fb67d56c62234917c8d6605d8cb0c339707cc2dc88b690d67399dd4e9ce9480d9c01763d98709d09533ba1b11d6603456fb163dc717170e082ca4e571ed9365	common_voice_ur_26574946.mp3	فیفا ورلڈ کپ جاپان کی ٹیم بیلجیئم کیخلاف میدان میں اترے گی	0	2	twenties	male			ur	
0dce0f4ff3e625a0808e50129ff5252880fccdb4976775dc24c3f63698d1fee2ed216234932f281e02f913f4faf60e0484785f6b456cb388deaacd0c3596fa22	common_voice_ur_26626257.mp3	وغیرہ وغیرہ۔	0	2					ur	
9b429f257f586530550730449045b59f09cf6f278e7e170f4b93de7114c708d938d51214275a8be24c9f6459e65e792b3a6be8c4fcb6332f2c1a768ed3c5af40	common_voice_ur_26630079.mp3	گزشتہ روز ایک نجی ٹیلی وژن چینل سے گفتگو	1	2	thirties	female			ur	
9b429f257f586530550730449045b59f09cf6f278e7e170f4b93de7114c708d938d51214275a8be24c9f6459e65e792b3a6be8c4fcb6332f2c1a768ed3c5af40	common_voice_ur_26630668.mp3	اسے کتنی ہی بار محسوس ہوا۔	0	2	thirties	female			ur	
9b429f257f586530550730449045b59f09cf6f278e7e170f4b93de7114c708d938d51214275a8be24c9f6459e65e792b3a6be8c4fcb6332f2c1a768ed3c5af40	common_voice_ur_26630704.mp3	نئی سوچ کی ضرورت ہر شعبے میں تھی۔	0	2	thirties	female			ur	
0c9690e5a2d1bb3ce418954a2b70acae53153708f6c3a21c9e8fe7e3912d97ba805ace5091772c8d4e16dc07fc906ca4956335b87821c244eee8129a15fcb0cf	common_voice_ur_26641309.mp3	ایک چسپ اور چونکا د والا انکشاف ہے	0	2	twenties	female			ur	
0c9690e5a2d1bb3ce418954a2b70acae53153708f6c3a21c9e8fe7e3912d97ba805ace5091772c8d4e16dc07fc906ca4956335b87821c244eee8129a15fcb0cf	common_voice_ur_26641310.mp3	اورجو حکمران طبقہ ہے۔	0	2	twenties	female			ur	
adbdc9fcc802b2cb7255414424df1f5bdaa5fe881309050cb452114b5246465b0f82d50f42739a3a675ed466c6302ec265daae26ce33d0b940c2bcccd11c5745	common_voice_ur_26643282.mp3	ویس تو یہ کوئی عالم ریکارڈ نہیںلی بستر سے اٹھ کر اچانک میل بھاگ لی بھی کوئی اتنا آسان کام نہیں	0	2	twenties	male			ur	
adbdc9fcc802b2cb7255414424df1f5bdaa5fe881309050cb452114b5246465b0f82d50f42739a3a675ed466c6302ec265daae26ce33d0b940c2bcccd11c5745	common_voice_ur_26643359.mp3	ان کے گرد گھیرا ہم تنگ کر دیں گے۔	0	2	twenties	male			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26646452.mp3	میرا خیال ہے کہ انہیں اس خوف سے اب نکلنا چاہیے۔	1	2	twenties	female			ur	
adbdc9fcc802b2cb7255414424df1f5bdaa5fe881309050cb452114b5246465b0f82d50f42739a3a675ed466c6302ec265daae26ce33d0b940c2bcccd11c5745	common_voice_ur_26646848.mp3	آج مسلمان ممالک میںبادشاہت ہے۔	1	2					ur	
adbdc9fcc802b2cb7255414424df1f5bdaa5fe881309050cb452114b5246465b0f82d50f42739a3a675ed466c6302ec265daae26ce33d0b940c2bcccd11c5745	common_voice_ur_26646860.mp3	زمانے کا تغیر دیکھیے۔	1	2					ur	
adbdc9fcc802b2cb7255414424df1f5bdaa5fe881309050cb452114b5246465b0f82d50f42739a3a675ed466c6302ec265daae26ce33d0b940c2bcccd11c5745	common_voice_ur_26646862.mp3	آلینڈ آئلینڈز	1	2					ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649246.mp3	در حال حاضر مشکلات ایمیلی دارم	0	2	twenties	female			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649357.mp3	بال ٹیمپرنگ کیس اسٹیو اسمتھ اور ڈیوڈ وارنر پر ایک سال کی پابندی	1	2	twenties	female			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649358.mp3	اور وہ بہت سے قوانین دریافت کر چکے ہیں	1	2	twenties	female			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649359.mp3	حجم کے لحاظ سے یہ نومبر کے لیے منحوس شروعات تھِی	1	2	twenties	female			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649361.mp3	اچھے حل نکال لیتا ہوں	1	2	twenties	female			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649373.mp3	فرشتے سراپاخیر مخلوق ہیں	1	2	twenties	female			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649943.mp3	باہر جانے سے پہلے بتیاں بجھانا مت بھولئے	0	2	twenties	female			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649944.mp3	آج نواز شریف نے مشروط اجازت قبول کرنے سے انکار کیا ہے۔	1	2	twenties	female			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649945.mp3	سی این جی اسٹیشن اتوار کو صبح بجے کھولے جائیں گے	1	2	twenties	female			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649946.mp3	شاز و ناذر ہی شکایت کرتا ہوں	1	2	twenties	female			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649959.mp3	کا بہترین پلئیر بھی ون ڈے کا	1	2	twenties	female			ur	
0ed4b321f601fe779c2643f2274545df074af3f3d87d5f39675d3f523901be1220c80696f0768b5e18de6984212ca360e5af45af994d3ece19a0376b97411a7f	common_voice_ur_26649960.mp3	منتخب حکومت تھی۔	0	2	twenties	female			ur	
